address,addressZipcode,beds,baths,area,price,year,source
"3250 ONEAL CIR 16J, BOULDER, CO 80301",80301,1.0,1.0,523.0,205000,2018,bouldercounty
"3393 ONEAL PKWY 32, BOULDER, CO 80301-5210",80301-5210,2.0,1.0,930.0,343000,2018,bouldercounty
"3545 28TH ST 105, BOULDER, CO 80301",80301,1.0,1.0,595.0,250000,2018,bouldercounty
"3601 ARAPAHOE AVE 119, BOULDER, CO 80301",80301,1.0,1.0,834.0,475000,2018,bouldercounty
"981 PARKWAY DR , BOULDER, CO 80303",80303,4.0,2.5,2099.0,816000,2018,bouldercounty
"311 SEMINOLE DR , BOULDER, CO 80303",80303,5.0,3.0,2652.0,680000,2018,bouldercounty
"1077 ALBION WAY , BOULDER, CO 80305",80305,4.0,2.0,2554.0,1050000,2018,bouldercounty
"3355 BRIDGER TRL I102, BOULDER, CO 80301",80301,1.0,1.0,516.0,244000,2018,bouldercounty
"808 ITHACA DR , BOULDER, CO 80305",80305,3.0,1.5,2106.0,775000,2018,bouldercounty
"603 QUINCE CIR , BOULDER, CO 80304-1030",80304-1030,3.0,2.5,2252.0,1441000,2018,bouldercounty
"2194 KINCAID PL , BOULDER, CO 80304",80304,4.0,2.5,3304.0,1295000,2018,bouldercounty
"3301 ARAPAHOE AVE 217, BOULDER, CO 80307",80307,1.0,1.0,1161.0,584100,2018,bouldercounty
"3301 ARAPAHOE AVE 418, BOULDER, CO 80303",80303,1.0,1.0,883.0,536700,2018,bouldercounty
"1715 15TH ST 5, CHESTERFIELD, MO 63005",63005,3.0,2.0,1050.0,565000,2018,bouldercounty
"960 8TH ST , BOULDER, CO 80302",80302,3.0,3.0,1701.0,1375000,2018,bouldercounty
"2999 SHADY HOLLOW EAST  , BOULDER, CO 80304",80304,2.0,2.0,1232.0,450000,2018,bouldercounty
"3466 IRIS CT , BOULDER, CO 80304-1832",80304-1832,4.0,3.0,3242.0,1300000,2018,bouldercounty
"3003 VALMONT RD 216, BOULDER, CO 80301",80301,0.0,0.0,0.0,34000,2018,bouldercounty
"82 BENTHAVEN PL , BOULDER, CO 80305",80305,3.0,2.5,1540.0,626000,2018,bouldercounty
"865 GRAPE AVE , BOULDER, CO 80304",80304,4.0,2.0,1440.0,685000,2018,bouldercounty
"4015 WONDERLAND HILL AVE , SOUTH MIAMI, FL 33143",33143,3.0,2.0,1620.0,670000,2018,bouldercounty
"1927 GOSS ST , LOUISVILLE, CO 80027",80027,4.0,2.0,1258.0,700000,2018,bouldercounty
"2807 SUNDOWN LN 304, WOBURN, MA 1801",1801,2.0,2.0,1273.0,471000,2018,bouldercounty
"4585 MARTIN DR , BOULDER, CO 80305-6003",80305-6003,5.0,2.0,2438.0,650000,2018,bouldercounty
"2960 SHADOW CREEK DR 302, BOULDER, CO 80303",80303,2.0,1.0,786.0,382500,2018,bouldercounty
"3335 CRIPPLE CREEK TRL E11, BOULDER, CO 80305",80305,2.0,1.5,1064.0,450000,2018,bouldercounty
"1860 WALNUT ST 10, SAN JOSE, CA 95123",95123,2.0,1.5,1080.0,550000,2018,bouldercounty
"2787 NORTHBROOK PL , BOULDER, CO 80304",80304,2.0,1.0,1248.0,442000,2018,bouldercounty
"2530 28TH ST 112, NEW YORK, NY 10185",10185,2.0,1.5,1239.0,605000,2018,bouldercounty
"3131 5TH ST , BOULDER, CO 80304",80304,6.0,3.0,2742.0,1011000,2018,bouldercounty
"4155 47TH ST B, BOULDER, CO 80301",80301,2.0,2.0,1190.0,180600,2018,bouldercounty
"2610 IRIS AVE 202, BOULDER, CO 80304",80304,1.0,1.0,608.0,118800,2018,bouldercounty
"3301 ARAPAHOE AVE 426, BOULDER, CO 80303",80303,2.0,2.0,1046.0,657000,2018,bouldercounty
"2530 28TH ST 114, BOULDER, CO 80301",80301,2.0,1.5,1239.0,590700,2018,bouldercounty
"2530 28TH ST 115, BOULDER, CO 80301",80301,2.0,1.5,1294.0,607100,2018,bouldercounty
"2530 28TH ST 116, BOULDER, CO 80301",80301,2.0,1.5,1239.0,616600,2018,bouldercounty
"2530 28TH ST 117, BOULDER, CO 80301",80301,2.0,2.0,1534.0,707100,2018,bouldercounty
"2530 28TH ST 119, BOULDER, CO 80301",80301,2.0,1.5,1239.0,654600,2018,bouldercounty
"315 SEMINOLE DR , BOULDER, CO 80303",80303,5.0,2.0,2688.0,615000,2018,bouldercounty
"40 PIMA CT , BOULDER, CO 80303",80303,3.0,2.5,1752.0,583000,2018,bouldercounty
"4475 LAGUNA PL 206, BOULDER, CO 80303",80303,1.0,1.0,1076.0,355000,2018,bouldercounty
"1190 BEREA DR , ELDORADO SPRINGS, CO 80025",80025,2.0,1.5,1350.0,725800,2018,bouldercounty
"1412 NORTH ST , BOULDER, CO 80304",80304,6.0,4.0,5132.0,1667500,2018,bouldercounty
"1323 BALSAM AVE , LAFAYETTE, CO 80026",80026,5.0,3.0,2570.0,850000,2018,bouldercounty
"2930 BROADWAY  B201, BOULDER, CO 80304",80304,2.0,2.5,1476.0,1275000,2018,bouldercounty
"3670 16TH ST , BOULDER, CO 80304",80304,4.0,1.5,2393.0,890000,2018,bouldercounty
"2610 LLOYD CIR , BOULDER, CO 80304-2002",80304-2002,2.0,1.5,1223.0,775000,2018,bouldercounty
"2530 28TH ST 120, NIWOT, CO 80503",80503,2.0,1.5,1274.0,745000,2018,bouldercounty
"3190 DARLEY AVE , BOULDER, CO 80305",80305,3.0,1.5,966.0,599900,2018,bouldercounty
"1520 GREENBRIAR BLVD , BOULDER, CO 80305",80305,4.0,3.5,2546.0,610000,2018,bouldercounty
"3010 13TH ST , BOULDER, CO 80304",80304,3.0,2.5,1861.0,825000,2018,bouldercounty
"2930 BROADWAY  B205, BOULDER, CO 80304",80304,2.0,1.5,1122.0,839000,2018,bouldercounty
"3401 ARAPAHOE AVE 308, ASPEN, CO 81611",81611,2.0,1.5,1754.0,806000,2018,bouldercounty
"3981 PROMONTORY CT , BOULDER, CO 80304-1055",80304-1055,4.0,3.5,5456.0,1525000,2018,bouldercounty
"2105 KING AVE , VERO BEACH, FL 32963",32963,3.0,2.5,1848.0,950000,2018,bouldercounty
"3313 MADISON AVE T311, SAN FRANCISCO, CA 94127",94127,2.0,1.0,636.0,250000,2018,bouldercounty
"684 TANTRA DR B, BOULDER, CO 80305",80305,2.0,1.0,816.0,382500,2018,bouldercounty
"208 PEARL ST N, BOULDER, CO 80302",80302,2.0,1.5,986.0,510000,2018,bouldercounty
"1360 REDWOOD AVE , BOULDER, CO 80304",80304,3.0,2.5,2089.0,950000,2018,bouldercounty
"2530 28TH ST 113, BELLEVUE, WA 98005",98005,2.0,1.5,1294.0,599000,2018,bouldercounty
"1250 ALBION WAY , BOULDER, CO 80304",80304,4.0,4.0,3253.0,700000,2018,bouldercounty
"3345 CHISHOLM TRL C302, BOULDER, CO 80301-1921",80301-1921,2.0,1.5,963.0,318800,2018,bouldercounty
"5000 BUTTE ST 163, BOULDER, CO 80301",80301,0.0,0.0,0.0,9000,2018,bouldercounty
"4860 SIOUX DR , BOULDER, CO 80303",80303,3.0,1.5,1744.0,693500,2018,bouldercounty
"975 TOEDTLI DR , BOULDER, CO 80305",80305,5.0,3.0,3003.0,815000,2018,bouldercounty
"1980 EDGEWOOD DR , BOULDER, CO 80301",80301,3.0,1.0,1259.0,640000,2018,bouldercounty
"2650 IRIS AVE B-12, BOULDER, CO 80304",80304,2.0,1.0,868.0,152800,2018,bouldercounty
"2530 28TH ST 111, BELLEVUE, WA 98005",98005,2.0,1.5,1274.0,625000,2018,bouldercounty
"4550 BROADWAY  219, BOULDER, CO 80304-4801",80304-4801,2.0,2.0,1399.0,638000,2018,bouldercounty
"1175 HANCOCK DR , BOULDER, CO 80303",80303,3.0,1.5,2341.0,639000,2018,bouldercounty
"840 GRAPE AVE , BOULDER, CO 80304",80304,3.0,3.0,3302.0,1295000,2018,bouldercounty
"3054 10TH ST , BOULDER, CO 80304",80304,2.0,3.5,2438.0,1115000,2018,bouldercounty
"2930 BROADWAY  B104, BOULDER, CO 80304",80304,2.0,1.5,829.0,141000,2018,bouldercounty
"4162 WESTCLIFFE CT , BOULDER, CO 80301",80301,4.0,2.5,2574.0,975000,2018,bouldercounty
"1445 CHAMBERS DR , BOULDER, CO 80305",80305,3.0,2.5,2474.0,825000,2018,bouldercounty
"2890 STANFORD AVE , BOULDER, CO 80305-5339",80305-5339,6.0,3.0,4187.0,1775000,2018,bouldercounty
"7282 AUGUSTA DR , BOULDER, CO 80301",80301,4.0,3.5,3877.0,800000,2018,bouldercounty
"3575 28TH ST 202, BOULDER, CO 80301",80301,1.0,1.0,624.0,255000,2018,bouldercounty
"3073 EDISON CT , BOULDER, CO 80301-2263",80301-2263,2.0,2.0,1241.0,465000,2018,bouldercounty
"3190 EUCLID AVE , SUPERIOR, CO 80027",80027,3.0,1.5,912.0,540000,2018,bouldercounty
"5425 WHITE PL , BOULDER, CO 80303-1235",80303-1235,3.0,1.5,1184.0,466500,2018,bouldercounty
"1850 FOLSOM ST 401, BOULDER, CO 80302",80302,1.0,1.0,993.0,399000,2018,bouldercounty
"4155 47TH ST C, BOULDER, CO 80301",80301,2.0,2.0,1190.0,177100,2018,bouldercounty
"5000 BUTTE ST 269, PUEBLO, CO 81005",81005,0.0,0.0,0.0,55000,2018,bouldercounty
"3020 PENNSYLVANIA AVE , BOULDER, CO 80303-1710",80303-1710,6.0,2.5,2610.0,390000,2018,bouldercounty
"4255 APACHE RD , BOULDER, CO 80303",80303,4.0,2.0,2160.0,700500,2018,bouldercounty
