,id,address,addressStreet,addressCity,addressZipcode,beds,baths,area,price,latitude,longitude
0,13188716,"760 Mohawk Dr, Boulder, CO 80303",760 Mohawk Dr,Boulder,80303,3,2,1564,799000,40.00294,-105.23729
1,13214816,"1285 Bear Mountain Drive  Unit C, Boulder, CO 80305",1285 Bear Mountain Drive  Unit C,Boulder,80305,3,2,1404,805000,39.977745,-105.2637
2,13199592,"4577 Tanglewood Trl, Boulder, CO 80301",4577 Tanglewood Trl,Boulder,80301,5,4,2830,1070000,40.05844,-105.17957
3,67148182,"745 Sugarloaf Rd, Boulder, CO 80302",745 Sugarloaf Rd,Boulder,80302,3,4,2772,1275000,40.01113,-105.34986
4,13188278,"2355 Hillsdale Way, Boulder, CO 80305",2355 Hillsdale Way,Boulder,80305,5,3,2394,2100000,39.98169,-105.26515
5,72297291,"4710 Holiday Dr UNIT 101, Boulder, CO 80304",4710 Holiday Dr UNIT 101,Boulder,80304,2,2,1102,266479,40.06017,-105.27898
6,13188187,"2790 Emerson Ave, Boulder, CO 80305",2790 Emerson Ave,Boulder,80305,3,2,1426,1120000,39.97488,-105.25847
7,13241319,"2363 Keller Farm Dr, Boulder, CO 80304",2363 Keller Farm Dr,Boulder,80304,5,4,5244,2095000,40.043365,-105.26535
8,13196318,"5785 Olde Stage Rd, Boulder, CO 80302",5785 Olde Stage Rd,Boulder,80302,3,3,2065,1250000,40.07922,-105.30213
9,13223727,"5546 Homestead Way, Boulder, CO 80301",5546 Homestead Way,Boulder,80301,4,3,4323,885000,40.07533,-105.1933
10,13219836,"4015 Wonderland Hill Ave, Boulder, CO 80304",4015 Wonderland Hill Ave,Boulder,80304,3,3,1688,995000,40.04751,-105.28766
11,13219200,"3757 Telluride Circle, Boulder, CO 80305",3757 Telluride Circle,Boulder,80305,3,3,1728,835000,39.966446,-105.24925
12,13180999,"333 Bellevue Dr, Boulder, CO 80302",333 Bellevue Dr,Boulder,80302,6,10,11157,11995000,39.99716,-105.27752
13,13191887,"1666 Deer Trail Rd, Boulder, CO 80302",1666 Deer Trail Rd,Boulder,80302,4,3,2062,1275000,40.07958,-105.35619
14,13188824,"3909 Apache Ct E, Boulder, CO 80303",3909 Apache Ct E,Boulder,80303,3,3,2336,875000,39.993755,-105.244705
15,13200007,"7725 Concord Drive, Boulder, CO 80301",7725 Concord Drive,Boulder,80301,4,3,2142,865000,40.058334,-105.17316
16,13178310,"1580 Moss Rock Pl, Boulder, CO 80304",1580 Moss Rock Pl,Boulder,80304,3,4,2248,2550000,40.04195,-105.27778
17,13199277,"7466 Old Post Rd, Boulder, CO 80301",7466 Old Post Rd,Boulder,80301,4,2,2062,895000,40.06225,-105.17993
18,13184384,"3420 Fordham Ct, Boulder, CO 80305",3420 Fordham Ct,Boulder,80305,5,3,2672,1250000,39.98861,-105.25291
19,13199181,"4858 Fairlawn Cir, Boulder, CO 80301",4858 Fairlawn Cir,Boulder,80301,3,3,2513,875000,40.06293,-105.1718
20,13183391,"3135 8th St, Boulder, CO 80304",3135 8th St,Boulder,80304,3,2,1793,1695000,40.03175,-105.28713
21,13240627,"4082 Dawn Ct, Boulder, CO 80304",4082 Dawn Ct,Boulder,80304,2,3,1332,795000,40.04909,-105.25968
22,109688034,"11780 Gold Hill Rd, Boulder, CO 80302",11780 Gold Hill Rd,Boulder,80302,5,7,11116,8500000,40.05917,-105.449936
23,13239699,"4252 Amber Street, Boulder, CO 80304",4252 Amber Street,Boulder,80304,4,4,2108,985000,40.052128,-105.26178
24,13196599,"96 Canon Park Dr, Boulder, CO 80302",96 Canon Park Dr,Boulder,80302,2,1,1320,875000,40.01252,-105.30411
25,13181240,"775 Grape Ave, Boulder, CO 80304",775 Grape Ave,Boulder,80304,3,2,2634,1797000,40.03443,-105.28704
26,13177309,"2926 16th St, Boulder, CO 80304",2926 16th St,Boulder,80304,5,4,3763,3500000,40.02852,-105.27551
27,13178458,"2900 Dover Dr, Boulder, CO 80305",2900 Dover Dr,Boulder,80305,4,2,2052,965000,39.98794,-105.25737
28,13198535,"2889 N 107th Street, Lafayette, CO 80026",2889 N 107th Street,Lafayette,80026,3,2,2588,825000,40.02834,-105.10335
29,13200412,"9256 Galway Road, Boulder, CO 80303",9256 Galway Road,Boulder,80303,3,2,1450,725000,40.008156,-105.137825
30,13222716,"2076 Hardscrabble Dr, Boulder, CO 80305",2076 Hardscrabble Dr,Boulder,80305,4,4,5437,4995000,39.96485,-105.25833
31,13183678,"530 Hartford Dr, Boulder, CO 80305",530 Hartford Dr,Boulder,80305,3,2,1406,1125000,39.984303,-105.2568
32,13181810,"3345 Broadway St UNIT 1, Boulder, CO 80304",3345 Broadway St UNIT 1,Boulder,80304,5,2,2808,950000,40.03621,-105.28247
33,82397192,"6685 Baseline Rd, Boulder, CO 80303",6685 Baseline Rd,Boulder,80303,4,6,3453,3195000,40.00197,-105.19786
34,71346082,"250 Pine Tree Ln, Boulder, CO 80304",250 Pine Tree Ln,Boulder,80304,5,7,6857,3490000,40.04573,-105.31887
35,13249430,"4254 S Hampton Cir, Boulder, CO 80301",4254 S Hampton Cir,Boulder,80301,4,3,4061,2000000,40.04568,-105.24698
36,81883194,"8001 Fairview Rd, Boulder, CO 80303",8001 Fairview Rd,Boulder,80303,6,10,12454,7900000,39.99462,-105.16536
37,13177455,"502 Highland Ave, Boulder, CO 80302",502 Highland Ave,Boulder,80302,5,5,4987,12000000,40.01914,-105.28976
38,13219717,"7130 Cedarwood Circle, Boulder, CO 80301",7130 Cedarwood Circle,Boulder,80301,4,4,3360,1700000,40.066628,-105.187256
39,13180929,"825 Circle Drive, Boulder, CO 80302",825 Circle Drive,Boulder,80302,4,7,6395,9250000,40.002506,-105.290474
40,13218272,"1407 Rockmont Cir, Boulder, CO 80305",1407 Rockmont Cir,Boulder,80305,3,4,2451,2100000,39.97459,-105.266266
41,2064217770,"4755-4757 Qualla Drive, Boulder, CO 80303",4755-4757 Qualla Drive,Boulder,80303,4,4,2070,1300000,39.990036,-105.23447
